Room Code,Seating Capacity,Seat Type,Department,rtype
NAH 11,80,Table & Chair,New Asia College,room
NAH 12,96,Lecture Theatre,New Asia College,room
NAH 114,80,Table & Chair,New Asia College,room
NAH 115,166,Lecture Theatre,New Asia College,room
NAH 213,90,Lecture Theatre,New Asia College,room
SWC LT,495,Lecture Theatre,Shaw College,room
UCA 102,30,Table & Chair,United College,room
UCA 103,45,Table & Chair,United College,room
UCA 104,60,Table & Chair,United College,room
UCA 105,30,Table & Chair,United College,room
UCA 111,35,Table & Chair,United College,room
UCA 312,59,Chamber-type,United College,room
UCC C1,200,Lecture Theatre,United College,room
UCC C2,89,Lecture Theatre,United College,room
UCC C3,78,Lecture Theatre,United College,room
UCC C4,75,Table & Chair,United College,room
UCC C5,75,Table & Chair,United College,room
UCC 102,20,Armchair,United College,room
UCC 103,20,Armchair,United College,room
UCC 104,20,Armchair,United College,room
UCC 105,20,Armchair,United College,room
UCC 108,25,Table & Chair,United College,room
UCC 109,24,Table & Chair,United College,room
UCC 110,45,Table & Chair,United College,room
UCC 111,50,Armchair,United College,room
UCC 114,45,Table & Chair,United College,room
UCC 201,50,Table & Chair,United College,room
UCC 204,20,Armchair,United College,room
UCC 205,20,Armchair,United College,room
UCC 206,30,Table & Chair,United College,room
UCC 207,30,Table & Chair,United College,room
UCC 208,30,Table & Chair,United College,room
WLS LG204,80,Table & Chair,U-Wide,room
BMS LT,76,Lecture Theatre,Science,room
BMS 1,45,Armchair,Science,room
BMS 2,45,Armchair,Science,room
BMS G18,166,Lecture Theatre,Science,room
SWH 1,117,Lecture Theatre,,room
SWH 2,117,Lecture Theatre,,room
ICS L1,108,Lecture Theatre,,room
LSB C1,80,Table & Chair,,room
LSB C2,80,Table & Chair,,room
LSB C3,80,Table & Chair,,room
LSB C4,80,Table & Chair,,room
LSB LT1,274,Lecture Theatre,,room
LSB LT2,104,Lecture Theatre,,room
LSB LT3,81,Lecture Theatre,,room
LSB LT4,68,Lecture Theatre,,room
LSB LT6,166,Lecture Theatre,,room
LPN LT,70,Lecture Theatre,,room
LSK 201,57,Table & Chair,U-Wide,room
LSK 202,30,Armchair,U-Wide,room
LSK 203,20,Armchair,U-Wide,room
LSK 204,30,Armchair,U-Wide,room
LSK 206,50,Table & Chair,U-Wide,room
LSK 208,65,Table & Chair,U-Wide,room
LSK 210,65,Table & Chair,U-Wide,room
LSK 212,48,Table & Chair,U-Wide,room
LSK 301,55,Table & Chair,U-Wide,room
LSK 302,60,Table & Chair,U-Wide,room
LSK 303,12,Armchair,U-Wide,room
LSK 304,65,Table & Chair,U-Wide,room
LSK 306,65,Table & Chair,U-Wide,room
LSK 308,65,Table & Chair,U-Wide,room
LSK 401,30,Table & Chair,English,room
LSK 404,30,Table & Chair,English,room
LSK 408,30,Table & Chair,English,room
LSK 410,30,Table & Chair,English,room
LSK 416,30,Table & Chair,English,room
LSK 514,64,Table & Chair,U-Wide,room
LSK 515,64,Table & Chair,U-Wide,room
LSK LT1,150,Lecture Theatre,U-Wide,room
LSK LT2,150,Lecture Theatre,U-Wide,room
LSK LT3,150,Lecture Theatre,U-Wide,room
LSK LT4,150,Lecture Theatre,U-Wide,room
LSK LT5,350,Lecture Theatre,U-Wide,room
LSK LT7,260,Lecture Theatre,U-Wide,room
KKB 101,86,Lecture Theatre,Arts,room
LDS 214,50,Table & Chair,Arts,room
LDS 218,25,Armchair,Arts,room
MMW 702,70,Table & Chair,U-Wide,room
MMW 703,90,Table & Chair,U-Wide,room
MMW 704,40,Table & Chair,U-Wide,room
MMW 705,55,Table & Chair,U-Wide,room
MMW 706,40,Table & Chair,U-Wide,room
MMW 707,60,Table & Chair,U-Wide,room
MMW 710,80,Table & Chair,U-Wide,room
MMW 715,45,Table & Chair,U-Wide,room
MMW LT1,224,Lecture Theatre,U-Wide,room
MMW LT2,143,Lecture Theatre,U-Wide,room
SC 139,25,Table & Chair,Science,room
SC L1,214,Lecture Theatre,Science,room
SC L2,117,Lecture Theatre,Science,room
SC L3,86,Lecture Theatre,Science,room
SC L4,117,Lecture Theatre,Science,room
SC L5,86,Lecture Theatre,Science,room
SC LG23,73,Lecture Theatre,Science,room
TYW LT,272,Lecture Theatre,Engineering,room
ERB 401,50,Table & Chair,Engineering,room
ERB 402,30,Armchair,Engineering,room
ERB 404,65,Table & Chair,Engineering,room
ERB 405,45,Table & Chair,Engineering,room
